Date,position,Close,EMA_200,EMA_50,EMA_100,EMA_30,positionnn,Name
2008-09-17,0,8.220000267,9.506527877,9.145542028,9.306545258,9.12445243,0,IBM
2008-09-18,1,8.109999657,9.492632073,9.104932523,9.282851286,9.059003864,1,IBM
2008-09-19,2,8.43999958,9.482158118,9.078856722,9.266161153,9.019068104,2,IBM
2008-09-22,3,8.100000381,9.468405305,9.040470199,9.243068861,8.959773412,3,IBM
2008-09-23,4,8.100000381,9.454789335,9.003589029,9.220433841,8.904304184,4,IBM
2008-09-24,5,8.100000381,9.441308848,8.96815418,9.19824704,8.852413616,5,IBM
2008-09-25,6,8.010000229,9.427066972,8.930579516,9.1747174,8.798064365,6,IBM
2008-09-26,7,8.289999962,9.415752872,8.905458749,9.157198243,8.765286017,7,IBM
2008-09-29,8,7.989999771,9.401566274,8.869558397,9.134085402,8.715267549,8,IBM
2008-09-30,9,8.170000076,9.389311884,8.842124737,9.114994604,8.680089003,9,IBM
2008-10-01,10,7.989999771,9.37538838,8.808708072,9.092717478,8.635567117,10,IBM
2008-10-02,11,7.809999943,9.359812376,8.769543047,9.067317131,8.582304718,11,IBM
2008-10-03,12,7.449999809,9.340809266,8.717796253,9.035291045,8.509252789,12,IBM
2008-10-06,13,7.25,9.320005194,8.660235616,8.999938747,8.428010673,13,IBM
2008-10-07,14,7.150000095,9.298413103,8.601010694,8.963306299,8.345558378,14,IBM
2008-10-08,15,7.050000191,9.276040835,8.540186752,8.925419049,8.261973979,15,IBM
2008-10-09,16,6.670000076,9.250110081,8.466846098,8.880757287,8.159265985,16,IBM
2008-10-10,17,6.599999905,9.223740826,8.393636444,8.835593775,8.058668173,17,IBM
2008-10-13,18,6.849999905,9.200121513,8.333101677,8.796275084,7.980689576,18,IBM
2008-10-14,19,6.860000134,9.176836723,8.275332989,8.757933006,7.908387031,19,IBM
2008-10-15,20,6.639999866,9.151594566,8.211202279,8.715993736,7.826555601,20,IBM
2008-10-16,21,6.25,9.122722978,8.134292386,8.667162177,7.724842336,21,IBM
2008-10-17,22,6.349999905,9.095133694,8.064320131,8.621277775,7.636142825,22,IBM
2008-10-20,23,6.300000191,9.06732142,7.995131114,8.575311883,7.549940074,23,IBM
2008-10-21,24,5.920000076,9.03600479,7.913753426,8.522731451,7.444782655,24,IBM
2008-10-22,25,5.690000057,9.00271121,7.826547412,8.46663776,7.331570874,25,IBM
2008-10-23,26,5.630000114,8.969151896,7.740408302,8.410466717,7.221792116,26,IBM
2008-10-24,27,6,8.939608096,7.672156996,8.362734703,7.142966818,27,IBM
2008-10-27,28,5.599999905,8.906378164,7.590895934,8.308027083,7.043420565,28,IBM
2008-10-28,29,6,8.877458978,7.528507858,8.262323577,6.97610311,29,IBM
2008-10-29,30,6.300000191,8.851812622,7.480331087,8.223465688,6.932483566,30,IBM
2008-10-30,31,6.25,8.825923939,7.432082809,8.18438716,6.888452369,31,IBM
2008-10-31,32,7,8.807755542,7.415138385,8.160933948,6.89564899,32,IBM
2008-11-03,33,7,8.789767924,7.398858448,8.137945157,6.902381313,33,IBM
2008-11-04,34,7.059999943,8.772556303,7.385569879,8.116599708,6.912550257,34,IBM
2008-11-05,35,6.949999809,8.754421412,7.3684887,8.09349872,6.914966357,35,IBM
2008-11-06,36,6.800000191,8.734974435,7.346195033,8.067884887,6.907549185,36,IBM
2008-11-07,37,6.800000191,8.71572096,7.324775628,8.04277826,6.90061054,37,IBM
2008-11-10,38,6.699999809,8.695664033,7.300274615,8.016188587,6.887667913,38,IBM
2008-11-11,39,6.489999771,8.673717125,7.268499131,7.985967027,6.862011903,39,IBM
2008-11-12,40,6.46999979,8.651789589,7.237185431,7.955947873,6.836720799,40,IBM
2008-11-13,41,6.380000114,8.629184719,7.203570321,7.924740987,6.807254949,41,IBM
2008-11-14,42,6.550000191,8.608496315,7.17794012,7.897518397,6.790657868,42,IBM
2008-11-17,43,6.480000019,8.587317248,7.15056992,7.869448726,6.770615426,43,IBM
2008-11-18,44,6.480000019,8.566348917,7.124273061,7.84193489,6.751866045,44,IBM
2008-11-19,45,6.480000019,8.545589227,7.099007451,7.814965883,6.734326301,45,IBM
2008-11-20,46,6.449999809,8.524737591,7.073556171,7.787936852,6.715982656,46,IBM
2008-11-21,47,6.400000095,8.503595924,7.047142208,7.760452956,6.695596685,47,IBM
2008-11-24,48,6.400000095,8.482664622,7.021764085,7.733513295,6.676525937,48,IBM
2008-11-25,49,6.5,8.462936616,7.001302749,7.709087289,6.665137167,49,IBM
2008-11-26,50,6.389999866,8.44231038,6.977330087,7.682966746,6.647386373,50,IBM
2008-11-27,51,6.380000114,8.42178988,6.953905382,7.657165427,6.630135647,51,IBM
2008-11-28,52,6.400000095,8.401672568,6.932183606,7.632271064,6.615288192,52,IBM
2008-12-01,53,6.289999962,8.380660901,6.906999934,7.605691438,6.594301855,53,IBM
2008-12-02,54,6.409999847,8.361052333,6.887509734,7.582014377,6.582411402,54,IBM
2008-12-03,55,6.400000095,8.341539375,6.868391709,7.558608153,6.570642931,55,IBM
2008-12-04,56,6.409999847,8.322320077,6.850415558,7.535863435,6.560278861,56,IBM
2008-12-05,57,6.349999905,8.302695,6.830791414,7.512380988,6.546712477,57,IBM
2008-12-08,58,6.900000095,8.288737837,6.83350548,7.500254634,6.569505226,58,IBM
2008-12-09,59,6.650000095,8.272431989,6.826309191,7.483417911,6.574698444,59,IBM
2008-12-10,60,6.599999905,8.255790874,6.817434317,7.465924485,6.576330796,60,IBM
2008-12-11,61,6.599999905,8.239315341,6.808907477,7.448777463,6.577857835,61,IBM
2008-12-12,62,6.349999905,8.220516183,6.790911102,7.427019492,6.563157324,62,IBM
2008-12-15,63,6.28000021,8.201207566,6.77087538,7.404306239,6.544889123,63,IBM
2008-12-16,64,6.179999828,8.181096046,6.74770379,7.380062547,6.521347878,64,IBM
2008-12-17,65,6,8.159393598,6.718382073,7.352734576,6.487712531,65,IBM
2008-12-18,66,5.989999771,8.13780759,6.689818061,7.325749729,6.45560203,66,IBM
2008-12-19,67,5.809999943,8.114645325,6.65531539,7.295734881,6.413950283,67,IBM
2008-12-22,68,5.730000019,8.090917511,6.619028512,7.264730231,6.369824459,68,IBM
2008-12-23,69,5.920000076,8.069316342,6.591615633,7.238101911,6.340803531,69,IBM
2008-12-29,70,5.920000076,8.047930111,6.565277768,7.212000884,6.313654921,70,IBM
2008-12-30,71,5.840000153,8.025960659,6.536835508,7.184832553,6.283096549,71,IBM
2009-01-02,72,5.789999962,8.003712293,6.50754784,7.157212106,6.251283866,72,IBM
2009-01-05,73,6.139999866,7.985167891,6.493134194,7.137069289,6.244104253,73,IBM
2009-01-06,74,6.400000095,7.969395077,6.489481876,7.122473859,6.25416205,74,IBM
2009-01-07,75,6.300000191,7.952784183,6.482051222,7.106187252,6.257119349,75,IBM
2009-01-08,76,6.119999886,7.934547523,6.46785313,7.086658789,6.248272932,76,IBM
2009-01-09,77,6.239999771,7.917686352,6.458917704,7.069893264,6.24773918,77,IBM
2009-01-12,78,6.300000191,7.901589972,6.452685645,7.054647857,6.251110858,78,IBM
2009-01-13,79,6.159999847,7.884260717,6.441207771,7.036932055,6.245232728,79,IBM
2009-01-14,80,6,7.865511854,6.423905505,7.016398747,6.229411262,80,IBM
2009-01-15,81,6,7.846949547,6.40728176,6.996272039,6.214610535,81,IBM
2009-01-16,82,6,7.82857194,6.391309926,6.97654388,6.200764694,82,IBM
2009-01-19,83,5.889999866,7.809282665,6.371650708,6.955028157,6.18071535,83,IBM
2009-01-20,84,5.809999943,7.789389305,6.349625188,6.932354331,6.156798227,84,IBM
2009-01-21,85,5.559999943,7.767206326,6.318659492,6.905178996,6.118295112,85,IBM
2009-01-22,86,5.550000191,7.745144573,6.28851599,6.878343772,6.081630924,86,IBM
2009-01-23,87,5.449999809,7.722307312,6.255633002,6.850059733,6.040880529,87,IBM
2009-01-26,88,5.429999828,7.699498282,6.223255231,6.821939735,6.001468871,88,IBM
2009-01-27,89,5.420000076,7.676816708,6.191755029,6.794178554,5.963954755,89,IBM
2009-01-28,90,5.710000038,7.657246393,6.172862676,6.772709672,5.94757058,90,IBM
2009-01-29,91,5.739999771,7.638169312,6.15588766,6.752259971,5.934178915,91,IBM
2009-01-30,92,5.800000191,7.619879072,6.141931289,6.733403342,5.925522223,92,IBM
2009-02-02,93,5.739999771,7.601173806,6.126169269,6.713731984,5.913553033,93,IBM
2009-02-03,94,5.659999847,7.581858642,6.107888115,6.692866001,5.897194763,94,IBM
2009-02-04,95,5.5,7.561143631,6.084049365,6.669244892,5.871569294,95,IBM
2009-02-05,96,5.550000191,7.541132253,6.06310626,6.647081631,5.8508229,96,IBM
2009-02-06,97,5.550000191,7.521319994,6.042984454,6.625357246,5.831414984,97,IBM
2009-02-09,98,5.610000134,7.502301886,6.026004676,6.605251165,5.817130155,98,IBM
2009-02-10,99,5.739999771,7.484766541,6.014788798,6.588117474,5.812154001,99,IBM
2009-02-11,100,5.840000153,7.468400706,6.007934341,6.573303269,5.813950527,100,IBM
2009-02-12,101,5.929999828,7.453093235,6.004878086,6.560564587,5.821437578,101,IBM
2009-02-13,102,5.920000076,7.437838577,6.001549536,6.547880142,5.827796449,102,IBM
2009-02-16,103,5.889999866,7.422437197,5.99717504,6.534852809,5.831809573,103,IBM
