Date,position,Close,EMA_200,EMA_50,EMA_100,EMA_30,positionnn,Name
2006-10-11,0,7.510000229,6.486546918,7.037513376,6.802600056,7.161150746,0,zara
2006-10-12,1,7.510000229,6.496730533,7.056042272,6.81660798,7.183657165,1,zara
2006-10-13,2,7.484000206,6.506554111,7.072824937,6.829823668,7.203034135,2,zara
2006-10-16,3,7.544000149,6.516876958,7.091302396,6.843965776,7.225031942,3,zara
2006-10-17,4,7.389999866,6.525564748,7.103016022,6.854778332,7.235675034,4,zara
2006-10-18,5,7.464000225,6.534902414,7.117172265,6.866842132,7.250405692,5,zara
2006-10-19,6,7.487999916,6.544385971,7.131714526,6.879142286,7.265734351,6,zara
2006-10-20,7,7.610000134,6.554989097,7.150470825,6.893614719,7.287945047,7,zara
2006-10-23,8,7.592000008,6.565307614,7.167785694,6.907444131,7.307561496,8,zara
2006-10-24,9,7.613999844,6.575742362,7.185284289,6.921435333,7.327331712,9,zara
2006-10-25,10,7.578000069,6.585715076,7.200684907,6.934436615,7.343503864,10,zara
2006-10-26,11,7.478000164,6.594593534,7.211560015,6.945200249,7.352181045,11,zara
2006-10-27,12,7.541999817,6.604020463,7.224518439,6.957018063,7.364427417,12,zara
2006-10-30,13,7.538000107,6.613313792,7.236811838,6.968522658,7.375625655,13,zara
2006-10-31,14,7.492000103,6.62205694,7.246819221,6.978888548,7.383133684,14,zara
2006-11-01,15,7.506000042,6.630852394,7.256983175,6.989326399,7.391060546,15,zara
2006-11-02,16,7.510000229,6.639600133,7.266905412,6.999636772,7.398734074,16,zara
2006-11-03,17,7.480000019,6.647962321,7.275262063,7.009148915,7.403977038,17,zara
2006-11-06,18,7.519999981,6.656639313,7.284859629,7.019264778,7.411462389,18,zara
2006-11-07,19,7.593999863,6.665966283,7.296982775,7.030645671,7.423239,19,zara
2006-11-08,20,7.541999817,6.674683035,7.306591286,7.040771495,7.430900989,20,zara
2006-11-09,21,7.558000088,6.683472259,7.316450455,7.051013646,7.43910093,21,zara
2006-11-10,22,7.506000042,6.691656615,7.323883772,7.060023277,7.443417002,22,zara
2006-11-13,23,7.480000019,6.699500828,7.330005978,7.068339649,7.445777197,23,zara
2006-11-14,24,7.526000023,6.707724701,7.337692019,7.07740223,7.450952863,24,zara
2006-11-15,25,7.590000153,6.716503561,7.347586456,7.087552684,7.459923656,25,zara
2006-11-16,26,7.673999786,6.726030887,7.360386978,7.099165498,7.473735019,26,zara
