===============================================================================
Id,TSLA,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,TSLA,1,2018-01-02 23:59:59.999989,312.0,322.11,311.0,320.53,4352200.0,0.0,320.529999,TestStrategy,1,736696.9999999999,Broker,1,1000.0,1000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,TSLA,2,2018-01-03 23:59:59.999989,321.0,325.25,315.55,317.25,4521500.0,0.0,317.25,TestStrategy,2,736697.9999999999,Broker,2,1000.0,1000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,TSLA,3,2018-01-04 23:59:59.999989,312.87,318.55,305.68,314.62,9946300.0,0.0,314.619995,TestStrategy,3,736698.9999999999,Broker,3,1000.0,1000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,TSLA,4,2018-01-05 23:59:59.999989,316.62,317.24,312.0,316.58,4591200.0,0.0,316.579987,TestStrategy,4,736699.9999999999,Broker,4,1000.0,1000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
5,TSLA,5,2018-01-08 23:59:59.999989,316.0,337.02,315.5,336.41,9859400.0,0.0,336.410004,TestStrategy,5,736702.9999999999,Broker,5,1000.0,1000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,TSLA,6,2018-01-09 23:59:59.999989,335.16,338.8,327.4,333.69,7146600.0,0.0,333.690002,TestStrategy,6,736703.9999999999,Broker,6,1000.0,1000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,TSLA,7,2018-01-10 23:59:59.999989,332.2,337.0,330.0,334.8,4309900.0,0.0,334.799988,TestStrategy,7,736704.9999999999,Broker,7,1000.0,1000.0,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,TSLA,8,2018-01-11 23:59:59.999989,335.24,344.81,333.26,337.95,6645500.0,0.0,337.950012,TestStrategy,8,736705.9999999999,Broker,8,1000.0,1000.0,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,TSLA,9,2018-01-12 23:59:59.999989,338.63,340.41,333.67,336.22,4825100.0,0.0,336.220001,TestStrategy,9,736706.9999999999,Broker,9,1000.0,1000.0,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,TSLA,10,2018-01-16 23:59:59.999989,337.54,345.0,334.8,340.06,6474300.0,0.0,340.059998,TestStrategy,10,736710.9999999999,Broker,10,1000.0,1000.0,BuySell,10,,,Trades - Net Profit/Loss,10,,
11,TSLA,11,2018-01-17 23:59:59.999989,340.47,349.0,339.75,347.16,7103500.0,0.0,347.160004,TestStrategy,11,736711.9999999999,Broker,11,1000.0,1000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,TSLA,12,2018-01-18 23:59:59.999989,345.67,352.3,343.74,344.57,5685800.0,0.0,344.570007,TestStrategy,12,736712.9999999999,Broker,12,1000.0,1000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,TSLA,13,2018-01-19 23:59:59.999989,345.0,350.59,342.6,350.02,4888300.0,0.0,350.019989,TestStrategy,13,736713.9999999999,Broker,13,1000.0,1000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,TSLA,14,2018-01-22 23:59:59.999989,349.4,357.83,349.2,351.56,6210400.0,0.0,351.559998,TestStrategy,14,736716.9999999999,Broker,14,1000.0,1000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,TSLA,15,2018-01-23 23:59:59.999989,360.0,360.5,351.0,352.79,5465400.0,0.0,352.790009,TestStrategy,15,736717.9999999999,Broker,15,1000.0,1000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,TSLA,16,2018-01-24 23:59:59.999989,354.58,354.75,343.52,345.89,5287500.0,0.0,345.890015,TestStrategy,16,736718.9999999999,Broker,16,1000.0,1000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,TSLA,17,2018-01-25 23:59:59.999989,348.27,349.2,336.4,337.64,6740300.0,0.0,337.640015,TestStrategy,17,736719.9999999999,Broker,17,1000.0,1000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,TSLA,18,2018-01-26 23:59:59.999989,341.5,344.0,335.71,342.85,4539400.0,0.0,342.850006,TestStrategy,18,736720.9999999999,Broker,18,1000.0,1000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,TSLA,19,2018-01-29 23:59:59.999989,339.85,350.85,338.28,349.53,4747100.0,0.0,349.529999,TestStrategy,19,736723.9999999999,Broker,19,1000.0,1000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,TSLA,20,2018-01-30 23:59:59.999989,345.14,348.27,342.17,345.82,4717700.0,0.0,345.820007,TestStrategy,20,736724.9999999999,Broker,20,1000.0,1000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,TSLA,21,2018-01-31 23:59:59.999989,347.51,356.19,345.19,354.31,6214100.0,0.0,354.309998,TestStrategy,21,736725.9999999999,Broker,21,1000.0,1000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,TSLA,22,2018-02-01 23:59:59.999989,351.0,359.66,348.63,349.25,4197700.0,0.0,349.25,TestStrategy,22,736726.9999999999,Broker,22,1000.0,1000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,TSLA,23,2018-02-02 23:59:59.999989,348.44,351.95,340.51,343.75,3704800.0,0.0,343.75,TestStrategy,23,736727.9999999999,Broker,23,1000.0,1000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,TSLA,24,2018-02-05 23:59:59.999989,337.97,344.47,333.0,333.13,4464100.0,0.0,333.130005,TestStrategy,24,736730.9999999999,Broker,24,1000.0,1000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,TSLA,25,2018-02-06 23:59:59.999989,325.21,336.22,323.5,333.97,5088400.0,0.0,333.970001,TestStrategy,25,736731.9999999999,Broker,25,1000.0,1000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,TSLA,26,2018-02-07 23:59:59.999989,338.99,346.0,335.66,345.0,6969200.0,0.0,345.0,TestStrategy,26,736732.9999999999,Broker,26,1000.0,1000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
