,ticker,in_out
0,EURUSD=X,out
1,EURGBP=X,out
2,EURCHF=X,2
3,EURJPY=X,out
4,EURNZD=X,out
5,EURCAD=X,out
6,EURAUD=X,out
7,USDCHF=X,out
8,USDJPY=X,out
9,GBPCAD=X,out
10,GBPUSD=X,out
11,GBPJPY=X,out
12,GBPCHF=X,out
13,GBPNZD=X,out
14,GBPAUD=X,out
15,NZDCAD=X,out
16,NZDUSD=X,out
17,NZDCHF=X,out
18,NZDJPY=X,out
19,JPY=X,out
20,EURSEK=X,out
21,USDCAD=X,out
22,AUDCAD=X,out
23,KC=F,out
24,HG=F,out
25,CORN,out
26,CL=F,out
27,ZS=F,out
28,ZW=F,out
29,GC=F,out
30,X,out
31,ETH-USD,out
32,PFE,out
33,^IXIC,out
34,^GSPC,out
35,^GDAXI,out
