tickers,in_out
ZTS,False
ZION,False
ZBRA,False
ZBH,True
YUM,False
XYL,False
XRAY,False
XOM,True
XEL,True
WYNN,False
WY,False
WTW,False
WST,False
WRK,False
WRB,True
WMT,False
WMB,True
WM,False
WHR,False
WFC,False
WELL,False
WEC,True
WDC,True
WBA,False
WAT,True
WAB,False
VZ,False
VTRS,False
VTR,False
VRTX,True
VRSN,False
VRSK,False
VNO,False
VMC,False
VLO,True
VFC,False
V,True
USB,False
URI,False
UPS,False
UNP,False
UNH,True
ULTA,False
UHS,False
UDR,False
UAL,True
UAA,False
UA,False
TYL,False
TXT,False
TXN,False
TWTR,False
TTWO,False
TT,False
TSN,False
TSLA,False
TSCO,False
TRV,False
TROW,False
TRMB,False
TPR,False
TMUS,False
TMO,False
TJX,False
TGT,False
TFX,True
TFC,False
TER,False
TEL,False
TECH,False
TDY,False
TDG,False
TAP,False
T,True
SYY,False
SYK,False
SYF,False
SWKS,False
SWK,False
STZ,True
STX,False
STT,False
STE,False
SRE,True
SPGI,False
SPG,False
SO,True
SNPS,True
SNA,True
SLB,False
SJM,False
SIVB,False
SHW,False
SEE,False
SEDG,True
SCHW,False
SBUX,False
SBNY,False
SBAC,False
RTX,False
RSG,True
ROST,False
ROP,False
ROL,True
ROK,False
RMD,False
RL,False
RJF,False
RHI,False
RF,False
REGN,True
REG,False
RE,False
RCL,False
QRVO,False
QCOM,False
PYPL,False
PXD,True
PWR,False
PVH,False
PTC,False
PSX,True
PSA,False
PRU,False
PPL,True
PPG,False
POOL,False
PNW,False
PNR,False
PNC,False
PM,True
PLD,False
PKI,False
PKG,False
PHM,False
PH,False
PGR,False
PG,False
PFG,False
PFE,True
PEP,False
PENN,False
PEG,False
PEAK,False
PCAR,False
PBCT,True
PAYX,False
PAYC,False
PARA,True
OXY,True
OTIS,True
ORLY,False
ORCL,False
OMC,False
OKE,False
OGN,True
ODFL,False
O,False
NXPI,True
NWSA,False
NWS,False
NWL,False
NVR,False
NVDA,False
NUE,False
NTRS,False
NTAP,False
NSC,False
NRG,True
NOW,False
NOC,False
NLSN,False
NLOK,False
NKE,False
NI,True
NFLX,False
NEM,False
NEE,False
NDSN,False
NDAQ,False
NCLH,False
MU,False
MTD,False
MTCH,False
MTB,True
MSI,False
MSFT,False
MSCI,False
MS,False
MRO,True
MRNA,False
MRK,True
MPWR,False
MPC,True
MOS,False
MOH,True
MO,False
MNST,True
MMM,False
MMC,False
MLM,False
MKTX,False
MKC,False
MHK,True
MGM,False
MET,False
MDT,True
MDLZ,False
MCO,False
MCK,True
MCHP,True
MCD,True
MAS,True
MAR,False
MAA,False
MA,True
LYV,False
LYB,True
LW,True
LVS,False
LUV,True
LUMN,True
LRCX,False
LOW,False
LNT,False
LNC,False
LMT,False
LLY,False
LKQ,False
LIN,True
LHX,False
LH,False
LEN,False
LDOS,False
L,False
KR,False
KO,True
KMX,False
KMI,True
KMB,False
KLAC,False
KIM,False
KHC,False
KEYS,False
KEY,False
K,True
JPM,False
JNPR,False
JNJ,True
JKHY,False
JCI,False
JBHT,False
J,True
IVZ,False
ITW,False
IT,False
ISRG,False
IRM,False
IR,False
IQV,False
IPGP,False
IPG,False
IP,True
INTU,False
INTC,False
INCY,False
ILMN,False
IFF,True
IEX,False
IDXX,False
ICE,False
IBM,True
HWM,False
HUM,True
HSY,False
HST,True
HSIC,True
HRL,False
HPQ,False
HPE,False
HON,False
HOLX,False
HLT,False
HII,False
HIG,False
HES,False
HD,False
HCA,False
HBAN,False
HAS,True
HAL,False
GWW,False
GS,False
GRMN,False
GPN,False
GPC,True
GOOGL,False
GOOG,False
GNRC,False
GM,False
GLW,False
GL,False
GIS,True
GILD,True
GE,False
GD,False
FTV,False
FTNT,False
FRT,False
FRC,False
FOXA,False
FOX,False
FMC,False
FLT,False
FITB,False
FISV,True
FIS,True
FFIV,False
FE,False
FDX,False
FDS,False
FCX,False
FBHS,False
FB,False
FAST,True
FANG,False
F,False
EXR,False
EXPE,False
EXPD,False
EXC,True
EW,False
EVRG,False
ETSY,False
ETR,False
ETN,True
ESS,False
ES,True
EQR,False
EQIX,False
EPAM,True
EOG,False
ENPH,False
EMR,False
EMN,False
EL,False
EIX,False
EFX,False
ED,True
ECL,False
EBAY,False
EA,True
DXCM,False
DXC,True
DVN,True
DVA,False
DUK,True
DTE,False
DRI,False
DRE,False
DPZ,False
DOW,True
DOV,False
DLTR,False
DLR,False
DISH,False
DISCK,False
DISCA,False
DIS,False
DHR,False
DHI,False
DGX,False
DG,False
DFS,False
DE,False
DD,False
DAL,True
D,True
CZR,False
CVX,True
CVS,False
CTXS,False
CTVA,False
CTSH,False
CTRA,True
CTLT,False
CTAS,False
CSX,False
CSCO,False
CRM,False
CRL,False
CPRT,False
CPB,True
COST,False
COP,True
COO,False
COF,False
CNP,True
CNC,False
CMS,False
CMI,True
CMG,False
CME,False
CMCSA,False
CMA,False
CLX,False
CL,False
CINF,True
CI,True
CHTR,False
CHRW,True
CHD,False
CFG,False
CF,True
CERN,True
CEG,True
CE,True
CDW,False
CDNS,False
CDAY,False
CCL,False
CCI,False
CBRE,False
CBOE,False
CB,True
CAT,False
CARR,False
CAH,True
CAG,False
C,True
BXP,False
BWA,True
BSX,False
BRO,False
BR,False
BMY,True
BLL,False
BLK,False
BKR,False
BKNG,False
BK,False
BIO,True
BIIB,True
BEN,False
BDX,False
BBY,False
BBWI,False
BAX,False
BAC,False
BA,False
AZO,False
AXP,False
AWK,False
AVY,False
AVGO,True
AVB,False
ATVI,False
ATO,False
ARE,False
APTV,False
APH,False
APD,False
APA,True
AOS,False
AON,False
ANTM,False
ANSS,False
ANET,False
AMZN,False
AMT,True
AMP,False
AMGN,True
AME,False
AMD,False
AMCR,True
AMAT,False
ALLE,False
ALL,False
ALK,False
ALGN,False
ALB,True
AKAM,False
AJG,False
AIZ,False
AIG,False
AFL,False
AES,False
AEP,True
AEE,False
ADSK,False
ADP,False
ADM,False
ADI,True
ADBE,False
ACN,False
ABT,False
ABMD,False
ABC,False
ABBV,False
AAPL,True
AAP,False
AAL,True
